item_id,order_id,product_id,quantity,unit_price,subtotal
I000001,O00001,P050,1,54.03,54.03
I000002,O00001,P001,3,362.29,1086.87
I000003,O00001,P037,3,46.97,140.91
I000004,O00002,P027,2,121.05,242.1
I000005,O00002,P044,2,141.41,282.82
I000006,O00003,P017,1,36.26,36.26
I000007,O00004,P050,1,54.03,54.03
I000008,O00005,P004,1,111.08,111.08
I000009,O00006,P043,1,129.81,129.81
I000010,O00006,P048,2,157.25,314.5
I000011,O00007,P035,2,74.52,149.04
I000012,O00008,P004,2,111.08,222.16
I000013,O00008,P047,2,149.04,298.08
I000014,O00008,P024,2,241.78,483.56
I000015,O00008,P001,2,362.29,724.58
I000016,O00009,P028,1,180.24,180.24
I000017,O00009,P020,2,38.5,77.0
I000018,O00010,P021,3,121.22,363.66
I000019,O00010,P046,3,211.54,634.62
I000020,O00011,P023,1,295.84,295.84
I000021,O00011,P019,1,109.53,109.53
I000022,O00012,P045,1,53.88,53.88
I000023,O00013,P008,2,498.77,997.54
I000024,O00014,P025,1,86.29,86.29
I000025,O00015,P034,1,45.83,45.83
I000026,O00016,P031,1,21.68,21.68
I000027,O00016,P037,3,46.97,140.91
I000028,O00016,P008,1,498.77,498.77
I000029,O00017,P048,1,157.25,157.25
I000030,O00017,P020,2,38.5,77.0
I000031,O00018,P048,3,157.25,471.75
I000032,O00018,P011,2,148.19,296.38
I000033,O00019,P035,2,74.52,149.04
I000034,O00019,P028,3,180.24,540.72
I000035,O00020,P021,2,121.22,242.44
I000036,O00021,P002,1,499.38,499.38
I000037,O00022,P045,1,53.88,53.88
I000038,O00023,P046,3,211.54,634.62
I000039,O00024,P017,3,36.26,108.78
I000040,O00024,P021,3,121.22,363.66
I000041,O00025,P020,2,38.5,77.0
I000042,O00026,P020,1,38.5,38.5
I000043,O00027,P032,3,89.58,268.74
I000044,O00028,P026,2,158.33,316.66
I000045,O00028,P050,1,54.03,54.03
I000046,O00029,P042,1,41.69,41.69
I000047,O00030,P022,2,82.79,165.58
I000048,O00031,P046,3,211.54,634.62
I000049,O00031,P032,3,89.58,268.74
I000050,O00031,P030,2,295.24,590.48
I000051,O00032,P038,1,46.85,46.85
I000052,O00033,P050,3,54.03,162.09
I000053,O00034,P021,1,121.22,121.22
I000054,O00035,P007,1,371.02,371.02
I000055,O00036,P050,2,54.03,108.06
I000056,O00037,P039,3,61.74,185.22
I000057,O00038,P023,3,295.84,887.52
I000058,O00039,P014,1,89.25,89.25
I000059,O00039,P012,2,105.16,210.32
